date,us_crude_price
Jan-2014,89.57
Feb-2014,96.86
Mar-2014,96.17
Apr-2014,96.49
May-2014,95.74
Jun-2014,98.68
Jul-2014,96.7
Aug-2014,90.72
Sep-2014,86.87
Oct-2014,78.84
Nov-2014,71.07
Dec-2014,54.86
Jan-2015,43.06
Feb-2015,44.35
Mar-2015,42.66
Apr-2015,49.3
May-2015,54.38
Jun-2015,55.88
Jul-2015,47.7
Aug-2015,39.98
Sep-2015,41.6
Oct-2015,42.34
Nov-2015,38.19
Dec-2015,32.26
Jan-2016,27.02
Feb-2016,25.52
Mar-2016,31.87
Apr-2016,35.59
May-2016,41.02
Jun-2016,43.96
Jul-2016,40.71
Aug-2016,40.46
Sep-2016,40.55
Oct-2016,45
Nov-2016,41.65
Dec-2016,47.12
Jan-2017,48.19
Feb-2017,49.41
Mar-2017,46.39
Apr-2017,47.23
May-2017,45.19
Jun-2017,42.17
Jul-2017,43.42
Aug-2017,44.96
Sep-2017,47.17
Oct-2017,49.12
Nov-2017,55.19
Dec-2017,56.98
Jan-2018,62.25
Feb-2018,61.18
Mar-2018,60.68
Apr-2018,63.5
May-2018,66.16
Jun-2018,62.8
Jul-2018,67
Aug-2018,62.64
Sep-2018,63.54
Oct-2018,65.18
Nov-2018,55.65
Dec-2018,47.63
Jan-2019,48
Feb-2019,52.6
Mar-2019,57.46
Apr-2019,63
May-2019,59.73
Jun-2019,54.34
Jul-2019,56.47
Aug-2019,53.63
Sep-2019,55.14
Oct-2019,53.14
Nov-2019,54.96
Dec-2019,58.41
Jan-2020,56.86
Feb-2020,50.03
Mar-2020,31.8
Apr-2020,15.99
May-2020,18.09
Jun-2020,33.53
Jul-2020,37.55
Aug-2020,39.42
Sep-2020,36.89
Oct-2020,36.46
Nov-2020,38.23
Dec-2020,43.97
Jan-2021,49.76
