Sale No.,Sale Date,Area Block,Lease No.,Region,Bid Order,Total Bid,MROV,Sortname,% Share,Net Bid,Block Max WD (ft),Status,Primary Term,Bid System Code,Royalty Rate,Init. Acres
231,3/19/2014,GC767,G35409,C,1,18450550,576000,"NOBLE ENERGY INC",50,9225275,6039,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC767,G35409,C,1,18450550,576000,"RIDGEWOOD ENERGY CORPORATION",50,9225275,6039,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC816,G35410,C,1,937555,576000,"LLOG BLUEWATER HOLDINGS LLC",70,656288.5,5255,RELINQ,10,R23,18.75,5760
231,3/19/2014,GC816,G35410,C,1,937555,576000,"RED WILLOW OFFSHORE LLC",25,234388.75,5255,RELINQ,10,R23,18.75,5760
231,3/19/2014,GC816,G35410,C,1,937555,576000,"HOUSTON ENERGY LP",5,46877.75,5255,RELINQ,10,R23,18.75,5760
231,3/19/2014,GC845,G35411,C,1,1546207,576000,"STATOIL GULF OF MEXICO LLC",100,1546207,6951,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC847,G35412,C,1,749608,576000,"STATOIL GULF OF MEXICO LLC",100,749608,5780,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC890,G35413,C,1,1215308,576000,"STATOIL GULF OF MEXICO LLC",100,1215308,6154,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC891,G35414,C,1,749608,576000,"STATOIL GULF OF MEXICO LLC",100,749608,5796,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC905,G35415,C,1,675000,576000,"FREEPORT MCMORAN OIL & GAS LLC",100,675000,5596,RELINQ,10,R23,18.75,5760
231,3/19/2014,GC949,G35416,C,1,8000000,576000,"FREEPORT MCMORAN OIL & GAS LLC",100,8000000,5439,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC988,G35417,C,1,757753,576000,"RED WILLOW OFFSHORE LLC",75,568314.75,5708,PRIMRY,10,R23,18.75,5760
231,3/19/2014,GC988,G35417,C,1,757753,576000,"HOUSTON ENERGY LP",25,189438.25,5708,PRIMRY,10,R23,18.75,5760
231,3/19/2014,AT011,G35418,C,1,3675500,9100000,"ANADARKO US OFFSHORE CORPORATION",100,3675500,4281,PRIMRY,7,R22,18.75,5760
231,3/19/2014,AT012,G35419,C,1,1514809,1000000,"BP EXPLORATION & PRODUCTION INC",100,1514809,4346,RELINQ,7,R22,18.75,5760
